Project name,Institutions_clean,institution_ids,Head_institutions,Countries_ISO2,Public value framing,Public values (labels),Technical objectives,Public/private,Funding sources,Operational status,Open access,Scope,Geographic coverage,Data types,Data collection methods,TK from IPLCs,User interface,Real-time data,What-if modelling,Decision-support function,Homepages,Other relevant sources,Notes
CORVI,STIMSON Center,345,STIMSON Center,US,CORVI is a decision support tool for leaders who need to make smart climate investments to improve the safety and security of coastal cities and island states. CORVI organizes data and information across the land and seascape to provide decision makers with the complete risk picture they need to take action.,better decision-making; stakeholder inclusion,"CORVI is a decision-support tool developed by Stimson Center that compares a diverse range of ecological, economic, and social risks connected to climate change to produce a coastal city or island-state risk profile, using nearly 100 indicators across 10 risk categories. By integrating empirical data, expert surveys, and local stakeholder input through structured expert judgement, CORVI fills data gaps and provides a locally informed, data-driven assessment of climate and ocean vulnerability in sub-national settings. The resulting risk profile helps governments, investors, and other decision-makers prioritize actions, guide resilience investments, and design integrated policy solutions to build climate resilience in coastal cities and island states",private,STIMSON Center,operational,no,global,coastal cities and island states,oceanographic; social,in-situ; desk research,no,yes,no,yes,human,https://www.stimson.org/project/corvi/#top-of-content,,
COSI,Norwegian Meteorological Institute; Nansen Environmental and Remote Sensing Center (NERSC),346;114,Nansen Center; Government of Norway,NO,developing calibration techniques using supervised machine learning algorithms in order to improve short-term (10 days) sea-ice concentration forecasts produced by the Copernicus Marine Service,basic research,develop an enhanced Pan-Arctic sea-ice concentration dataset using observations from the Advanced Microwave Scanning Radiometer 2 (AMSR2) in order to train the machine learning models,public,Copernicus Marine Service,pilot,fully,regional,Arctic,oceanographic; spatial,remote sensing; in-situ,no,yes,no,yes,human,https://www.cosi-seaice.net/cosi_project,https://www.cosi-seaice.net/cosi_forecasts ; https://marine.copernicus.eu/de/about/research-development-projects/2022-2024/cosi,(note from the website: forecasts will be available for demonstration from November 2023 and operationally in the CMEMS catalogue in 2025)
Coupled Ocean Modeling Testbed Platform,Louisiana State University; National Oceanic and Atmospheric Administration; Texas A&M University Corpus Christi’; Virginia Institute of Marine Science,347;165;348;349,Louisiana State University; National Oceanic and Atmospheric Administration (NOAA); Texas A&M University Corpus Christi’; William & Mary,US,"The overarching goal of this project is to further develop the coupling between a state-of-the-art process-based community land surface/hydrological model and a 3D community ocean circulation model to better predict temperature, salinity, water level, buoyancy, sediment, and contaminant transport through the River - Estuary - Ocean Continuum with the consideration of both barotropic and baroclinic processes. Major tasks in this proposed project include the coupling between ocean and hydrological models, coupling of contaminant and sediment transport modules. The coupled model will be applied to the testbed of Galveston Bay during Hurricane Harvey with a focus on how temperature, salinity and sediment concentration impact buoyancy and contaminant transport. Additionally, a prototype platform for operational models will be constructed. The readiness level in this proposed project will advance from RL4 (validation of system in the lab or equivalent) to RL7 (demonstration in a relevant environment) over a three-year period.",basic research,"develop the coupling between a state-of-the-art process-based community land surface/hydrological model and a 3D community ocean circulation model to better predict temperature, salinity, water level, buoyancy, sediment, and contaminant transport through the River - Estuary - Ocean Continuum with the consideration of both barotropic and baroclinic processes.",public,IOOS,operational,fully,local,Galveston Bay,oceanographic; spatial; biological,remote sensing; in-situ,no,yes,yes,yes,no,https://comt.ioos.us/projects/coupled_ocean_modeling_testbed_platform,,
Dassault Systèmes DT (3DEXPERIENCE),Dassault Systemes,350,Dassault Systemes,FR,"produce faster, smarter and more sustainable shipbuilding through digital twin technology; implement a continuity strategy and enable efficiencies and new transformative results; improve collaboration and traceability",sustainable shipping,"data driven approach; lower costs and project lead times, enhance agile resource, operation and schedule management; advance autonomous and intelligent shipyards",private,Dassault Systemes,operational,no,global,"22 results in marine & offshore customer uses (computed wing sails, shipments, building of ships, greener futures in maritime transport; wind assisted propulsion)",oceanographic; biological; spatial,remote sensing; in-situ; desk research,no,yes,yes,yes,human,https://www.3ds.com/virtual-twin; https://www.3ds.com/3dexperience/ ; https://www.3ds.com/insights/customer-stories?woc=%7B%22industry%22%3A%5B%22industry%2Fmarine%20%26%20offshore%22%5D%7D,,
Data Assimilation Algorithms for U.S West and East Coast OFS,University of California at Santa Cruz; The State University of New Jersey; National Oceanic and Atmospheric Administration; Rutgers University (RU),351;165;352;353;354,University of California; The State University of New Jersey; National Oceanic and Atmospheric Administration (NOAA); Rutgers University (RU),US,"deliver more accurate and more highly resolved forecasts of water level, velocity, temperature and salinity to key stakeholders concerned with fisheries, ecosystem health, navigation, maritime safety, response to marine environmental hazards, and a sustainable blue economy",stakeholder inclusion; basic research; blue economy,"Achieve faster ROMS DA execution time, thereby enabling the practicality of higher resolution analyses and forecasts; Expand capabilities for better utilizing the information content of high-resolution observations used in existing operational systems; Create an infrastructure to run coupled ROMS-biogeochemical models that exploit the enhanced ocean physics state estimates delivered by operational DA systems; Develop IOOS Cloud Sandbox instances of DA systems, including WCOFS, to facilitate hands-on user training in running advanced DA systems and enable the user community to experiment with system performance, ecosystem forecasting, coupling, and observing system design; Solicit stakeholder priorities and requirements for the next generation of analysis and near real-time forecasts.",public,IOOS,operational,fully,national,USA coasts and seas,oceanographic; spatial; biological,remote sensing; in-situ,no,yes,yes,yes,no,https://comt.ioos.us/projects/data_assimilation_algorithms,,
Deep-sea exploration and conservation,Charles Darwin Foundation,312,,EC,"To advance exploration, research, and knowledge sharing regarding the fascinating deep-sea and seamount ecosystems of the Galápagos and the Tropical Eastern Pacific in general, and to contribute to their improved and responsible management. To encourage and strengthen improved administration, management, and protection of these poorly understood and underrepresented conservation targets for the Galápagos, and to enhance their representation in marine planning, policies, and protection measures throughout the Eastern Tropical Pacific. To improve our understanding of the impacts of climate change and the socio-ecological factors that determine the health and resilience of deep-sea systems in the Galápagos and the Tropical Eastern Pacific.",climate change adaptation; basic research,"Mapping and characterizing deep-sea habitats. Generating carbon data for ocean waters and the deep seabed, and evaluating potential carbon mitigation strategies and/or sustainable financing tools for ocean Marine Protected Areas. Predicting and mitigating future threats before they can cause irreversible damage.",private,Bezos Earth Fund; Gordon and Betty Moore Foundation,operational,,regional,"Deep waters and seamounts of the Galápagos and the Tropical Eastern Pacific (Ecuador, Colombia, Panama, and Costa Rica)",spatial; biological,in-situ; remote sensing,no,no,no,yes,human,https://www.darwinfoundation.org/es/nuestro-trabajo/oceano/conservacion-oceano-profundo/,,
Denmark's Depth Model 2.0 (DDM) ,Danish Geodata Agency,355,Danish Geodata Agency,DK,"In addition to being a potential useful tool for planning work at sea – for example, the construction of wind farms, bridges, and tunnels – it is an important instrument when, for instance, storm surge, wave, and climate models need to be created.

Not only it allows you to explore Denmark’s seafloor, it can also be used by a wide range of stakeholders, from students to researchers, public authorities and private companies that need an overview of marine areas and depths.",disaster prevention; better ocean systems data,"represents the most recent advancement in Digital Bathymetric Modeling (DBM) for Danish territorial waters, providing a high-resolution grid with a spatial resolution of 50 meters",public,"Danish Ministry of Climate, Energy and Utilities",operational,fully,regional,Denmark's exclusive economic zone (EEZ),oceanographic,remote sensing; in-situ,,,no,no,,https://dataforsyningen.dk/data/4817,,
DESYCO,Euro-Mediterranean Center on Climate Change (CMCC),356,CMCC,IT,"DESYCO is a GIS-based Decision Support System (DSS) aimed at the integrated assessment of multiple climate change impacts on vulnerable coastal systems (e.g. beaches, river deltas, estuaries and lagoons, wetlands, agricultural and urban areas). It implements a Regional Risk Assessment (RRA) methodology that allows to rank potential targets and areas at risk from climate change and to identify homogeneous geographic sites for the definition of adaptation and management strategies.

DESYCO is an open source software that manages different input data (e.g. raster or shapefiles) regarding both climate change hazard scenarios (e.g. global and regional climate projections; high resolution hydrodynamic, hydrological and biogeochemical simulations) and site-specific physical, ecological and socioeconomic features of the analyzed region (e.g. coastal topography, geomorphology, presence and distribution of vegetation cover, location of artificial protection).",disaster prevention; climate change adaptation,"reduce climate-related risks to coasts, wetlands, groundwater, cities, and agriculture.",public,"Italian Ministry of Education, University and Research; FP7 CLIM-RUN Project (EU FP7)",,fully,regional,Mediteranian sea,spatial,in-situ; remote sensing,no,yes,yes,yes,human,https://www.cmcc.it/models/desyco,,
Development of a dynamic systems model as a tool for planning and analyzing marine protected areas,Interdisciplinary Center for Marine Sciences (CICIMAR),357,Government of Mexico,MX,"Protected Natural Areas (PNAs) promote conservation, mitigate climate change, generate economic benefits, and provide environmental services. In the marine environment, PNAs are often associated with reefs, which are highly diverse ecosystems. Their establishment involves a management plan that specifies clearly defined objectives, components, zones, and activities. However, this plan may change and be updated depending on how the biological, environmental, and socioeconomic components interact. In this regard, having an approach that allows for a comprehensive definition of the PNA’s structure—describing the interaction of its components—as well as tools to help predict possible outcomes under different scenarios, is essential for the decisions and actions that are implemented. The project will apply a systems analysis approach and develop a dynamic systems model using Cabo Pulmo National Park as an example.",ecosystem restoration; blue economy; better decision-making,"The project will apply a systems analysis approach and develop a dynamic systems model using Cabo Pulmo National Park as a case study. The model will be structured with the support and guidance of specialists, key stakeholders, and local residents. It will be informed by data from scientific literature, time-series data from monitoring efforts conducted by academic institutions, civil society organizations, and government agencies, as well as the analysis of this information using indices and statistical methods. The model will be developed and simulated using the STELLA Professional software (v3.1, Isee Systems).",public,,operational,,local,Parque Nacional Cabo Pulmo (Mexico),social; biological,desk research; remote sensing,no,no,yes,yes,human,https://www.cicimar.ipn.mx/investigacion/proyectos.html,,Information about the research project is displayed in pop-up windows. 
Digital and Sustainable Harbour 2030,BF Partners; ETT Solutions; Netalia; Machine Learning Genoa Center (MalGa); Circle Garage; Old Harbour of Genova; Aitrust,358;359;360;361;362;363;364,BF Partners; City of Genova; Netalia; Circle Garage; University of Genoa; ETT Group; Aitrust,IT,"BY INVESTIGATING THE NEEDS OF USERS AND THE GENERAL PUBLIC, A SPECIALISED MODEL IS DEVELOPED TO INCREASE THE ATTRACTIVENESS OF THE AREA BY CONSISTENT AND SKILLED MANAGEMENT OF SPACES. The project goal is to define innovative methods and applications of knowledge management to promote waterfront management and sustainable development. ",blue economy,"measurement and evaluation of environmental parameters, in relation to the consumption and production of renewable energy; monitoring of the flow of people and vehicles (land and sea) for both security and commercial purposes; the control of safety performances and usability of the built system",public,Liguria Region,pilot,,local,Genovese Harbor area,oceanographic; biological; social; spatial; multimedia,in-situ; remote sensing,no,yes,yes,yes,human,https://www.digitalsustainableharbour.it/,,
Digital Coast,National Oceanic and Atmospheric Administration,165,National Oceanic and Atmospheric Administration (NOAA),US,"The Digital Coast’s most popular resources pertain to sea level rise, flood exposure, risk communication, and historical hurricane tracking.
The website provides many examples, or stories, of how its resources have helped coastal communities assess topics of concern, such as coastal flooding risks, preparing
for future storms, and areas vulnerable to sea level rise.",coastal zone protection; disaster prevention; climate change adaptation,"The National Oceanic and Atmospheric Administration’s (NOAA’s) Office for Coastal
Management (OCM) manages the Digital Coast, a website comprising thousands of
open-access datasets, interactive and downloadable tools, literature, and online and in-person trainings, all focused on providing coastal communities with necessary resources for coastal management.",public,NOAA,operational,fully,national,US coasts ,oceanographic; social; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://coast.noaa.gov/digitalcoast/,https://media.rff.org/documents/RFF_WP_21-03.pdf,
Digital Jersey DT,Digital Jersey Limited,365,Digital Jersey Limited,JE,"Trialing social measures on the digital twin instead of in the real world (which could cause massive upheaval, disruption and potential negative reaction), eg. would staggering school start times help ease traffic flows?; this DT should ease the test within its data platform and simulation - a stakeholder can find the answer ""without a single motorist needing to know"" what was tested",better decision-making,"three key elements: a data platform populated with real-world and real-time data from myriad sources, a simulation which allows you to test theories and ideas in a completely safe setting, and a virtual reality experience to bring concepts to life",public,Government of Jersey; JT Group Ltd.; Sure Telecom Group; Ports of Jersey; States of Jersey Development Company (SoJDC),operational,no,local,digital twin of the entire island of Jersey,spatial; social; multimedia,remote sensing; desk research,no,yes,yes,yes,human,https://www.digital.je/initiatives/digital-twin/,,
Digital Twin Demonstration Project for Natural Gas Processing at the Zhuhai Jinwan Gaolan Terminal,CNOOC Deepwater Development Limited,366,China National Offshore Oil Corporation,CN,"The system employs advanced ""digital twin"" technology to analyze, predict, and diagnose the entire gas field development process, thereby optimizing production and decision-making. This means that the new system can not only meet the fluctuating gas supply demands of downstream users but also simultaneously account for the constraints of gas reservoirs, individual wellbores, pipeline networks, and terminal facilities. It achieves multiple functions, including optimized forecasting of reservoir development indicators, coordinated production analysis of gas field clusters, real-time monitoring of offshore pipeline flow stability, and early warning of equipment failures.",better decision-making,"Scientific planning of exploration, extraction, transportation, and other related processes in advance",public,China,operational,no,local,Guangdong-Hong Kong-Macao Greater Bay Area,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://mp.weixin.qq.com/s?__biz=MjM5NTU0NzcwMQ==&mid=2649569985&idx=3&sn=c4aa8d4d3b5f81a1363e3e349d0673b1&chksm=beef459b8998cc8db82a49c06ce221372475fd7cbe42d0867e61ead9013dd8174241a4c9ddcb&scene=27,,
Digital Twin for AUV,State Research Center of the Russian Federation,367,State Research Center of the Russian Federation,RU,"digital twin of an autonomous underwater vehicle (AUV) for assessing the effectiveness of its functioning when searching for bottom objects (effectiveness of searching for objects depends on the size of the area, the performance of the search determined by the width of the inspection swath, the physical principles of detection means, the bottom topography, and the state of the marine environment) ",basic research,"simulator developed for testing and diagnosing the movement of AUVs during sea trials (also speed, depth, movement of AUV); collective and cyclic propeller designed to create axial and lateral thrust; an assessment of the effectiveness of methods for rough alignment of AUVs under mooring conditions (which are unfavorable conditions); side-scan sonar",public,Russian Science Foundation,pilot,no,local,AUV “Klavesin-1R/1RE”  (physical reference platform);  Open sources describe Klavesin as a Rubin-designed deep-diving AUV family (the 1RE variant is publicized for 5–6000 m depths and seabed inspection missions,oceanographic; spatial,desk research,no,no,no,yes,human,-,,
Digital Twin of Port of Hamburg,Hamburg Port Authority (HPA),368,Government of Germany,DE,support the maritime economy in terms of coastal operations; dealing with floods and accidents ,coastal zone protection; disaster prevention,,public,City Hamburg,operational,no,local,Hamburg port,oceanographic; social,in-situ; remote sensing,no,no,yes,yes,no,https://www.hamburg-port-authority.de/en/themenseiten/digital-testing-ground,,
Digital Twin of the Ocean Cleanup Systems,The Ocean Cleanup,369,The Ocean Cleanup,NL, plastic waste removal from ocean ,combat pollution,calculate drag force of operational system ,private,The Ocean Cleanup,operational,fully,local,The Ocean Cleanup vessel,oceanographic; spatial,in-situ; desk research,no,no,yes,yes,no,https://asmedigitalcollection.asme.org/OMAE/proceedings-abstract/OMAE2023/86892/V007T08A011/1167255,https://www.researchgate.net/profile/Andriarimina-Rakotonirina/publication/372443705_ON_THE_DIGITAL_TWIN_OF_THE_OCEAN_CLEANUP_SYSTEMS/links/654a750ece88b87031d2f9e2/On-the-Digital-Twin-of-the-Ocean-Cleanup-Systems.pdf,
Digital Twin Safety Monitoring for the Bohai Qinhuangdao 32-6 Oilfield,China National Offshore Oil Corporation,36,China National Offshore Oil Corporation,CN,"By integrating UWB (Ultra-Wideband) positioning, AI visual recognition, and angular displacement sensing technologies, Qinhuangdao 32-6 generates a ""digital twin"" for every employee and piece of equipment within its 3D digital engine. The system can identify unsafe human behaviors, unsafe equipment conditions, and management loopholes in real time, enabling one-click activation of intelligent video alerts, risk-tiered control measures, and emergency response coordination. This ensures that ""alerts are triggered before potential hazards even emerge.""",,"Real-time detection of unsafe human behavior, unsafe conditions of equipment, and management gaps",public,China,operational,no,local,Bohai Bay,oceanographic,remote sensing; in-situ,no,yes,yes,yes,human,https://baijiahao.baidu.com/s?id=1858773456172984467&wfr=spider&for=pc,,
Digital Twin System for Nearshore Marine Dynamic Hazards,Ministry of Natural Resources,370,Government of China,CN,"It can quickly simulate extreme scenarios such as coastal embankment breaches and seawater inundation, and can even simulate the effectiveness of measures such as stacking sandbags and reinforcing seawalls, providing ""what-if"" analysis to support decision-making.",better decision-making; disaster prevention,It can perform high-precision simulations of the environmental and hydrodynamic processes in Qingdao’s nearshore waters and enable real-time monitoring of the marine environment.,public,China,operational,no,local,Qingdao,oceanographic; spatial; social,remote sensing; in-situ,no,yes,yes,yes,human,https://ncs.mnr.gov.cn/n1/n127/n134/250506103239014548.html,,
Digital Twins for Winds-Offshore (DTWO),Royal Netherlands Meteorological Institute (KNMI); Gdańsk University of Technology; Fraunhofer Institute for Wind Energy Systems (IWES); Technical University Denmark (DTU); Danish Hydraulic Institute (DHI); Von Karman Institute (VKI); Icons; SoftServe Poland (SSP); Siemens Gamesa Renewable Energy (SGRE); European Centre for Medium-Range Weather Forecasts (ECMWF); Enfor,371;372;373;374;375;376;377;378;379;380;381,Royal Netherlands Meteorological Institute (KNMI); Gdańsk University of Technology; Fraunhofer Institute for Wind Energy Systems (IWES); Technical University Denmark (DTU); Danish Hydraulic Institute (DHI); Von Karman Institute (VKI); Siemens; Icons; European Centre for Medium-Range Weather Forecasts; Danfoss; SoftServe,DK; IT; NL; BE; DE; GB; PL,"most complete digital twin for offshore wind energy, designed for ease of use and integrated into Europe’s green energy transition plan; support development of wind energy to help with EU's goal to deliver approx. 31% of total power production in Europe via wind energy",renewable energy production,"orchestrate the many digital assets, the digital twin federated software architecture is built to integrate five modules. The software architecture will be designed to enable prescriptive capabilities, satisfying transversal IT necessities of accessibility, computing, security, management, and monitoring; bring together data from different key stakeholders from the offshore wind energy sector; focus on upskilling engineers and data scientists in digital twin workflows, contributing to more efficient offshore wind energy production",public,European Union,development,fully,regional,pilot sites around Europe including North Sea; Baltic Sea; German Exclusive Economic Zone; floating farms within these areas; ,oceanographic; spatial,remote sensing; in-situ,no,yes,no,yes,human,https://dtwo-project.eu/,,
Digital+ DT Shandong Shipping Corporation (SDSC),Shandong Marine Group; Shandong Shipping Corporation (SDSC),382;383,Shandong Marine Group; Shandong Shipping Corporation (SDSC),CN,"lower fuel use and emissions: the DT programme combines hydrodynamic upgrades, energy-saving tech and digital optimisation, with reported annual fuel and CO₂ savings on the order of thousands of tonnes; early fault warnings reduce the risk of serious failures and accidents at sea; generating data and experience to feed into classification societies and industry guidelines, which can benefit the wider sector",sustainable shipping; climate change mitigation,"simulate how large bulk and tanker ships behave structurally and operationally in real time, use that to predict faults and optimise routes and operations, and integrate everything into a fleet-wide digital management and decision-support system (to boost safety, efficiency and energy performance)",private,Shandong Provincial People's Government,operational,no,national,"deep-sea fleet dominated by very large ore carriers (up to 400,000 dwt), Newcastlemax/Capesize and Panamax/Kamsarmax bulkers (one of China’s biggest LPG fleets and a growing middle-range tanker segment)",oceanographic; spatial,in-situ; remote sensing,no,no,yes,yes,human,https://en.sdshipping.cn,,
Discharge,Photrack Ag,384,Photrack Ag,CH,"In order to measure the level, velocity, and consequently, the discharge value, photrack developed a platform called “Discharge”, able to non-intrusive, optical flow measurement for natural water streams, irrigation, and wastewater channels.",combat pollution,cloud-based platform for the large-scale acquisition of hydrometric and meteorological data,public,Horizon Europe,operational,,,,multimedia,in-situ; citizen science,no,yes,yes,no,,https://discharge.ch/,,
DMS Digital Twin Platform for Ship Engine Rooms,Dalian Maritime University (DMU),385,Dalian Maritime University (DMU),CN,"By seamlessly integrating virtual and physical environments and utilizing digital twin technology, the system reconstructs the vessel’s operational status and navigational environment, enabling comprehensive remote monitoring and control of the ship. It features shore-based information support and intelligent decision-making assistance, providing comprehensive, multi-dimensional technical support for the safe navigation of smart ships, while also serving as a shore-based teaching and training platform for cultivating the next generation of smart shipping professionals.",sustainable shipping; better decision-making,"Remote control, simulation testing, scenario reenactment, fault simulation, virtual maintenance, and simulation training for marine electromechanical systems.",public,China,operational,no,global,global,oceanographic; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://www.dlmu.edu.cn/info/1455/127898.htm,https://mp.weixin.qq.com/s?__biz=MjM5MTc1OTU1MQ==&mid=2652190149&idx=1&sn=9679d9aba5c1dc0f711c49183c215b77&chksm=bc71fc421695074885ed4c18ee4f618bd07c2d8c5df24d365ef71d6ea05bff7dd7c8b62460e0&scene=27,
The Digital Twin for Green Shipping (DT4GS),,386,,,"Analyse the application of Digital Twins in enabling decarbonisation of shipping and develop associated modelling frameworks to support practical innovations in ship performance optimisation, ship retrofitting, and Smart Green Ship new builds. Importantly, DTs provide the ability to instantaneously analyze, compare, and integrate data such as ship IoT monitoring, port state control inspections, events history terminal feedback to identify anomalies and trends.

Even though DT Product lifecycle management offers a way to long-term decarbonization in shipping, the medium-term impact is likely to be small, as world fleet renewal is at slow process. For the next 20 years, the efforts of decarbonization will primarily require investments from ship owners/operators in CO2e reducing solutions. Consequently, the target impact for DT4GS is to enable shipping companies capitalize on the DT potential to increase ship efficiencies to constantly reduce CO2e in the short-term, and to support robust investment decisions and planning [retrofit/new builds] in the longer term.",sustainable shipping; climate change mitigation,develop modelling frameworks to support practical innovations in ship performance optimisation,public,EU,operational,fully,global,global,oceanographic; spatial,remote sensing; in-situ,no,no,yes,yes,human,https://www.dt4gs.eu/,,
DTC Ice Sheets,Technical University Denmark (DTU); ASIAQ Greenland Survey; Environmental Earth Observation Information Technology (ENVEO); Lancaster University; Geological Survey of Denmark and Greenland (GEUS); University of Edinburgh; Earthwave; KU Leuven,371;387;388;221;389;390;391;392,Technical University Denmark (DTU); ASIAQ Greenland Survey; Lancaster University; Geological Survey of Denmark and Greenland (GEUS); University of Edinburgh; Earthwave; KU Leuven; ENVEO,DK; BE; AT; GL; GB,"Our goal is to design, implement, and validate a pre-operational digital twin of the Greenland and Antarctic ice sheets and ice shelves (DTC-IS). By integrating Earth Observation (EO) data with advanced computational models, the aim of the DTC-IS is to fully represent the ice sheets system and address issues related to hydrology, ice shelf and ice sheet stability, ice sheet mass balance, and climatology.

The Greenland and Antarctic ice sheets are essential to the Earth system, storing vast freshwater reserves and driving sea level, ocean, and climate dynamics. Their evolution, through ice flow, surface melting, calving, and basal melting, affects ecosystems, coastal regions, and global climate. Through modular, interactive tools and stakeholder-driven use cases, the DTC-IS provides a near-real-time, science-based platform for exploring the state of the ice sheets and for performing “what-if” scenarios, supporting research, and decision-making and policies.",basic research; better decision-making; stakeholder inclusion,predict future impact scenarios of the ice-sheet melt,public,European Space Agency,development,,regional,Greenland and Antarctica,oceanographic; spatial,in-situ; remote sensing,no,yes,yes,yes,human,https://dtc-ice-sheets.org,,
DTEClimate,National Research-Development Institute for Earth Physics of Romania (INCDFP); Romanian Space Agency (ROSA); Iași University of Life Sciences “Ion Ionescu de la Brad” (IULS); Research Centre for Spatial Information (UPB-CEOSPaceTech); University of Constanța “Ovidius” (UOC); Investigatii Medicale Praxis; Multidimension; GreenSoft; Eau de Web (EDW); Europlastic SRL,393;394;395;396;397;398;399;400;401;402,National Research-Development Institute for Earth Physics of Romania (INCDFP); Romanian Space Agency (ROSA); University Politehnica of Bucharest; Investigatii Medicale Praxis; University of Constanța “Ovidius” (UOC); Multidimension; Iași University of Life Sciences Ion Ionescu de la Brad (IULS Ion Ionescu de la Brad); GreenSoft; Eau de Web (EDW); Europlastic SRL,RO; IT,enabling climate adaptation and resilience at national scale in Romania; supporting evidence-based policy and decision making,better decision-making; climate change adaptation; disaster prevention,"hybrid physics-informed AI framework that integrates Earth Observation (EO) data, in-situ measurements, and advanced analytics to generate uniform, high-resolution geophysical parameter layers for monitoring and forecasting environmental and human processes; digital twin architecture for a time-series analysis, with causal modeling, and visualization tools to support climate-related forecasting, adaptation services, and decision support across interconnected domains (climate, health, environment, and coastal systems)",public,NextGeneration EU,operational,fully,national,Romanian coast/Black Sea coastline,oceanographic; spatial; biological,remote sensing; in-situ; desk research,no,yes,no,yes,human,https://dteclimate.upb.ro/compare-datasets/?lat=0.000000&lng=0.000000&zoom=0,,
DT-GEO (Digital Twin for Geophysical Extremes),"Institut de physique du globe de Paris (IPGP); University of Hamburg; National Center for Scientific Research (CNRS); University Consortium (CINECA); University of Strasbourg; National Institute of Geophysics and Volcanology (INGV); University of Grenoble Alps (UGA); UK Research and Innovation (UKRI); Swiss Federal Institute of Techlogy Zurich (ETHZ); Paris Cité University; Laboratory of Instrumentation and Experimental Particle Physics (LIP); Institute of Geophysics, Polish Academy of Sciences (IGPAN); Barcelona Supercomputing Centre (BSC); Icelandic Meteorological Office (IMO); Mondaic; Helmholtz Centre for Geosciences (GFZ); National Research Council of Spain (CSIC); Polytechnic University of Valencia (UPV); Norwegian Geotechnical Institute (NGI); Observatoire de la Côte d’Azur (OCA); National Research Institute for Sustainable Development of France (IRD); University of Cote d'Azur (UCA); European Plate Observing System (EPOS); University of Malaga (UMA); Academic Computer Centre Cyfronet AGH; University of Munich (LMU)",149;152;403;404;405;109;406;407;408;409;410;160;104;411;154;156;412;413;414;415;416;417;418;155;419;420,Swiss Federal Institute of Techlogy Zurich; University of Hamburg; Polish Academy of Sciences ; European Union; Government of Spain; University of Strasbourg; University of Grenoble Alps (UGA); UK Research and Innovation (UKRI); Government of Italy; University of Côte d'Azur; Paris Cité University; Laboratory of Instrumentation and Experimental Particle Physics (LIP); CINECA; Mondaic; Government of France; National Research Council of Spain (CSIC); Polytechnic University of Valencia (UPV); Norwegian Geotechnical Institute (NGI); Government of Iceland; University of Cote d'Azur (UCA); Helmholtz; University of Malaga (UMA); Academic Computer Centre Cyfronet AGH; University of Munich (LMU),IT; PT; DE; IS; CH; GB; ES; FR; PL; NO,"DT-GEO aims at being a first step of a long-term community effort towards a twin on geophysical extremes integrated in the Destination Earth (DestinE) initiative; This ambitious European initiative plans to develop a high-precision digital model of the Earth with the purpose of mapping and anticipating climate-related events worldwide as accurately as possible; As such, observational data collected by DT-GEO partners will be continuously integrated into DestinE Digital Twin to make the Earth model more accurate.
",disaster prevention,"Use 12 Digital Twin components to deliver precise early warning systems, forecasts, and hazard assessments across different time scales, all powered by data-driven insights; Offer a flexible framework that ensures EOSC compliance and FAIR validation of project outputs, integrating seamlessly with HPC/cloud computing infrastructures; Test DT-GEO’s solutions in real-world conditions at 13 key demonstration sites, chosen for their critical importance, across Europe and beyond to ensure reliability.",public,EU Horizon Europe,development,fully,global,"Multiple reagons according to work packages, including Europe, Japan, Chile",oceanographic; spatial; biological,in-situ; desk research; remote sensing,no,yes,yes,yes,human,https://dtgeo.eu/,,Intended to be integrated into DestinE
DTO Fisheries Shiny App,Aristotle University of Thessaloniki,421,Aristotle University of Thessaloniki,GR,"used for online ecosystem assessment through a series of fisheries and community indicators.This approach can be used in any ecosystem of the world provided that the baseline data area available. Mean Temperature of the Catch (MTC), one of the community indicators of the Shiny R App is able to ""predict"" future changes in marine communities and fisheries catch with sea warming and the proportional contribution (or increase) of alien species in a marine ecosystem or the fisheries catch.",blue economy; climate change adaptation,predict future changes in marine communities and fisheries catch with sea warming and the proportional contribution (or increase) of alien species,public,EU,development,,regional,North Sea and Black Sea,oceanographic; biological; spatial,remote sensing; in-situ; desk research,no,yes,no,yes,human,https://ocean-twin.eu/marketplace/product/fisheries,,
